dPg,dHg,dDg,dPs,dHs,dDs,Outcome
7.90E+00,1.24E+01,1.65E+01,3.32E+00,4.61E+00,1.64E+01,G
1.70E+00,6.10E+00,1.68E+01,3.54E+00,3.67E+00,1.62E+01,S
9.85E-01,1.95E+00,1.65E+01,3.72E+00,3.44E+00,1.61E+01,G
1.32E+01,1.34E+01,1.89E+01,4.10E+00,2.50E+00,1.60E+01,G
8.00E+00,1.41E+01,1.59E+01,3.87E+00,3.06E+00,1.61E+01,S
8.70E+00,1.04E+01,1.67E+01,4.23E+00,2.30E+00,1.61E+01,G
7.30E+00,1.25E+01,1.66E+01,3.45E+00,3.69E+00,1.62E+01,G
2.59E+00,2.42E+00,1.80E+01,3.87E+00,3.06E+00,1.61E+01,I
6.90E+00,4.10E+00,1.61E+01,1.50E+00,4.70E+00,1.60E+01,G
1.13E+01,9.60E+00,1.78E+01,4.10E+00,2.50E+00,1.60E+01,G
6.50E+00,1.41E+01,1.60E+01,1.50E+00,4.70E+00,1.60E+01,G
7.50E+00,9.50E+00,1.68E+01,4.10E+00,2.50E+00,1.60E+01,G
2.90E+00,8.10E+00,1.62E+01,5.22E+00,1.62E+00,1.58E+01,G
1.09E+01,8.80E+00,1.72E+01,4.10E+00,2.50E+00,1.60E+01,G
8.30E+00,1.25E+01,1.70E+01,3.45E+00,3.69E+00,1.62E+01,S
1.10E+01,1.24E+01,1.77E+01,5.22E+00,1.62E+00,1.58E+01,G
9.62E-01,2.57E+00,1.65E+01,3.72E+00,3.44E+00,1.61E+01,G
1.33E+01,1.19E+01,1.72E+01,4.10E+00,2.50E+00,1.60E+01,G
3.10E+00,9.00E+00,2.00E+01,3.44E+00,4.11E+00,1.62E+01,G
2.10E+00,6.10E+00,1.68E+01,3.43E+00,4.46E+00,1.62E+01,S
2.20E+00,6.07E+00,1.68E+01,3.54E+00,3.67E+00,1.62E+01,S
1.05E+01,1.16E+01,1.69E+01,3.80E+00,3.30E+00,1.60E+01,G
1.32E+01,1.95E+01,1.66E+01,6.99E+00,7.63E+00,1.64E+01,I
9.10E+00,8.80E+00,1.68E+01,3.80E+00,3.30E+00,1.60E+01,G
2.30E+00,7.10E+00,1.63E+01,3.72E+00,3.44E+00,1.61E+01,G
7.20E+00,8.70E+00,1.71E+01,4.23E+00,2.30E+00,1.61E+01,G
7.10E+00,8.60E+00,1.71E+01,1.50E+00,4.70E+00,1.60E+01,G
2.60E+00,7.60E+00,1.63E+01,5.22E+00,1.62E+00,1.58E+01,G
1.70E+00,6.10E+00,1.68E+01,3.72E+00,3.44E+00,1.61E+01,S
1.26E+01,1.10E+01,1.82E+01,6.99E+00,7.63E+00,1.64E+01,G
4.80E+00,8.80E+00,1.64E+01,3.87E+00,3.06E+00,1.61E+01,G
1.31E+01,2.13E+01,1.74E+01,6.99E+00,7.63E+00,1.64E+01,I
8.00E+00,1.41E+01,1.59E+01,3.44E+00,4.11E+00,1.62E+01,G
7.90E+00,1.24E+01,1.65E+01,3.59E+00,3.47E+00,1.62E+01,S
9.70E+00,9.50E+00,1.70E+01,4.35E+00,3.26E+00,1.60E+01,G
1.70E+00,6.10E+00,1.68E+01,3.43E+00,4.46E+00,1.62E+01,S
3.77E+00,3.98E+00,1.87E+01,3.87E+00,3.06E+00,1.61E+01,G
8.30E+00,8.60E+00,1.70E+01,3.72E+00,3.44E+00,1.61E+01,G
1.17E+01,2.02E+01,1.65E+01,6.99E+00,7.63E+00,1.64E+01,G
2.41E+00,5.15E+00,1.66E+01,3.44E+00,4.11E+00,1.62E+01,G
8.10E+00,8.40E+00,1.70E+01,4.10E+00,2.50E+00,1.60E+01,G
7.90E+00,1.24E+01,1.65E+01,3.45E+00,3.69E+00,1.62E+01,I
2.90E+00,8.10E+00,1.62E+01,3.72E+00,3.44E+00,1.61E+01,G
1.20E+01,9.90E+00,1.79E+01,4.10E+00,2.50E+00,1.60E+01,G
3.32E+00,5.68E+00,1.81E+01,3.87E+00,3.06E+00,1.61E+01,G
5.20E+00,2.80E+00,1.99E+01,3.44E+00,4.11E+00,1.62E+01,G
5.60E+00,1.09E+01,1.66E+01,3.44E+00,4.11E+00,1.62E+01,G
1.05E+00,3.69E+00,1.66E+01,3.72E+00,3.44E+00,1.61E+01,G
9.90E+00,1.01E+01,1.72E+01,3.80E+00,3.30E+00,1.60E+01,G
5.20E+00,1.20E+01,1.65E+01,5.22E+00,1.62E+00,1.58E+01,G
8.30E+00,1.25E+01,1.70E+01,3.87E+00,3.06E+00,1.61E+01,G
1.10E+01,1.24E+01,1.77E+01,3.15E+00,4.45E+00,1.64E+01,G
8.10E+00,8.40E+00,1.70E+01,3.72E+00,3.44E+00,1.61E+01,G
6.07E-01,2.39E+00,1.67E+01,1.50E+00,4.70E+00,1.60E+01,G
2.90E+00,8.10E+00,1.62E+01,4.10E+00,2.50E+00,1.60E+01,G
2.00E+00,6.60E+00,1.63E+01,3.87E+00,3.06E+00,1.61E+01,G
9.70E+00,1.13E+01,1.75E+01,3.15E+00,4.45E+00,1.64E+01,G
2.10E+00,6.10E+00,1.68E+01,3.54E+00,3.67E+00,1.62E+01,S
1.26E+01,1.10E+01,1.82E+01,4.10E+00,2.50E+00,1.60E+01,G
5.00E+00,1.01E+01,1.64E+01,3.44E+00,4.11E+00,1.62E+01,G
7.30E+00,1.25E+01,1.66E+01,3.87E+00,3.06E+00,1.61E+01,G
8.30E+00,8.60E+00,1.70E+01,3.87E+00,3.06E+00,1.61E+01,G
8.30E+00,1.25E+01,1.70E+01,3.87E+00,3.06E+00,1.61E+01,I
1.18E+01,2.03E+01,1.65E+01,4.35E+00,3.26E+00,1.60E+01,G
9.70E+00,1.13E+01,1.75E+01,5.22E+00,1.62E+00,1.58E+01,G
2.50E+00,5.30E+00,1.65E+01,3.44E+00,4.11E+00,1.62E+01,G
2.60E+00,6.20E+00,1.67E+01,3.87E+00,3.06E+00,1.61E+01,G
1.05E+01,1.66E+01,1.69E+01,3.87E+00,3.06E+00,1.61E+01,G
9.70E+00,1.43E+01,1.65E+01,3.44E+00,4.11E+00,1.62E+01,G
8.70E+00,2.18E+01,1.79E+01,5.22E+00,1.62E+00,1.58E+01,G
5.20E+00,1.20E+01,1.65E+01,3.87E+00,3.06E+00,1.61E+01,G
6.40E+00,6.60E+00,1.69E+01,1.50E+00,4.70E+00,1.60E+01,I
9.62E-01,2.57E+00,1.65E+01,4.02E+00,3.86E+00,1.61E+01,G
2.20E+00,5.00E+00,1.66E+01,3.87E+00,3.06E+00,1.61E+01,G
2.20E+00,5.00E+00,1.66E+01,5.22E+00,1.62E+00,1.58E+01,G
2.50E+00,7.40E+00,1.63E+01,5.22E+00,1.62E+00,1.58E+01,G
8.30E+00,8.60E+00,1.70E+01,3.78E+00,3.39E+00,1.61E+01,G
2.10E+00,6.10E+00,1.68E+01,3.18E+00,4.33E+00,1.63E+01,G
6.40E+00,1.11E+01,1.65E+01,3.44E+00,4.11E+00,1.62E+01,G
6.13E-01,2.36E+00,1.67E+01,3.72E+00,3.44E+00,1.61E+01,G
9.85E-01,1.95E+00,1.65E+01,4.23E+00,2.30E+00,1.61E+01,G
2.10E+00,6.10E+00,1.68E+01,5.22E+00,1.62E+00,1.58E+01,G
6.13E-01,2.36E+00,1.67E+01,4.10E+00,2.50E+00,1.60E+01,G
1.05E+00,3.69E+00,1.66E+01,5.35E+00,2.47E+00,1.57E+01,G
5.20E+00,8.50E+00,1.61E+01,3.87E+00,3.06E+00,1.61E+01,G
1.05E+01,1.16E+01,1.69E+01,4.35E+00,3.26E+00,1.60E+01,G
9.70E+00,1.14E+01,1.67E+01,4.35E+00,3.26E+00,1.60E+01,G
6.10E+00,1.24E+01,1.67E+01,3.87E+00,3.06E+00,1.61E+01,G
8.80E+00,7.90E+00,1.72E+01,1.50E+00,4.70E+00,1.60E+01,G
2.50E+00,5.30E+00,1.65E+01,3.87E+00,3.06E+00,1.61E+01,G
7.70E+00,8.90E+00,1.74E+01,4.23E+00,2.30E+00,1.61E+01,G
1.13E+01,1.84E+01,1.66E+01,4.35E+00,3.26E+00,1.60E+01,G
2.20E+00,6.07E+00,1.68E+01,3.72E+00,3.44E+00,1.61E+01,S
9.60E+00,9.60E+00,1.70E+01,4.35E+00,3.26E+00,1.60E+01,S
2.57E+00,6.93E+00,1.64E+01,3.87E+00,3.06E+00,1.61E+01,G
2.50E+00,7.40E+00,1.63E+01,4.10E+00,2.50E+00,1.60E+01,G
9.85E-01,1.95E+00,1.65E+01,3.87E+00,3.06E+00,1.61E+01,G
2.50E+00,5.30E+00,1.65E+01,4.10E+00,2.50E+00,1.60E+01,G
1.92E+00,6.09E+00,1.68E+01,2.98E+00,5.15E+00,1.64E+01,G
1.24E+01,1.29E+01,1.77E+01,4.10E+00,2.50E+00,1.60E+01,G
7.80E+00,8.30E+00,1.72E+01,4.23E+00,2.30E+00,1.61E+01,G
8.10E+00,1.17E+01,1.64E+01,3.72E+00,3.44E+00,1.61E+01,G
2.50E+00,5.30E+00,1.65E+01,5.22E+00,1.62E+00,1.58E+01,G
1.17E+01,2.02E+01,1.65E+01,4.35E+00,3.26E+00,1.60E+01,G
3.21E+00,3.86E+00,1.82E+01,3.87E+00,3.06E+00,1.61E+01,G
2.55E+00,6.48E+00,1.64E+01,3.87E+00,3.06E+00,1.61E+01,G
1.09E+01,1.01E+01,1.73E+01,4.10E+00,2.50E+00,1.60E+01,G
5.00E+00,1.01E+01,1.64E+01,6.99E+00,7.63E+00,1.64E+01,G
8.00E+00,1.18E+01,1.65E+01,3.72E+00,3.44E+00,1.61E+01,G
3.46E+00,4.79E+00,1.90E+01,3.87E+00,3.06E+00,1.61E+01,I
9.70E+00,1.13E+01,1.75E+01,3.45E+00,3.69E+00,1.62E+01,G
6.07E-01,2.39E+00,1.67E+01,3.72E+00,3.44E+00,1.61E+01,G
1.31E+01,2.13E+01,1.74E+01,4.35E+00,3.26E+00,1.60E+01,G
2.67E+00,5.01E+00,1.68E+01,3.44E+00,4.11E+00,1.62E+01,G
8.10E+00,8.40E+00,1.70E+01,3.78E+00,3.39E+00,1.61E+01,G
6.50E+00,1.44E+01,1.60E+01,4.23E+00,2.30E+00,1.61E+01,G
6.07E-01,2.39E+00,1.67E+01,3.44E+00,4.11E+00,1.62E+01,G
8.30E+00,1.25E+01,1.70E+01,3.59E+00,3.47E+00,1.62E+01,S
5.20E+00,3.40E+00,1.59E+01,1.50E+00,4.70E+00,1.60E+01,G
9.62E-01,2.57E+00,1.65E+01,3.44E+00,4.11E+00,1.62E+01,G
1.10E+01,1.24E+01,1.77E+01,3.45E+00,3.69E+00,1.62E+01,G
2.80E+00,6.90E+00,1.54E+01,3.87E+00,3.06E+00,1.61E+01,G
2.50E+00,5.30E+00,1.65E+01,4.10E+00,2.50E+00,1.60E+01,G
8.50E+00,7.70E+00,1.71E+01,4.10E+00,2.50E+00,1.60E+01,G
2.00E+00,6.40E+00,1.63E+01,3.87E+00,3.06E+00,1.61E+01,G
5.00E+00,1.01E+01,1.64E+01,5.22E+00,1.62E+00,1.58E+01,G
9.85E-01,1.95E+00,1.65E+01,4.10E+00,2.50E+00,1.60E+01,G
8.00E+00,1.41E+01,1.59E+01,3.72E+00,3.44E+00,1.61E+01,G
1.05E+00,3.69E+00,1.66E+01,1.50E+00,4.70E+00,1.60E+01,G
2.56E+00,5.21E+00,1.66E+01,3.44E+00,4.11E+00,1.62E+01,G
6.40E+00,1.11E+01,1.65E+01,4.10E+00,2.50E+00,1.60E+01,G
1.15E+01,1.85E+01,1.66E+01,6.99E+00,7.63E+00,1.64E+01,I
6.30E+00,1.47E+01,1.57E+01,4.23E+00,2.30E+00,1.61E+01,G
8.60E+00,1.05E+01,1.69E+01,4.23E+00,2.30E+00,1.61E+01,G
9.00E+00,1.71E+01,1.79E+01,4.10E+00,2.50E+00,1.60E+01,G
7.90E+00,1.24E+01,1.65E+01,3.87E+00,3.06E+00,1.61E+01,G
1.09E+01,1.01E+01,1.73E+01,6.99E+00,7.63E+00,1.64E+01,G
1.10E+01,1.07E+01,1.77E+01,1.50E+00,4.70E+00,1.60E+01,G
2.53E+00,6.01E+00,1.64E+01,3.87E+00,3.06E+00,1.61E+01,G
9.85E-01,1.95E+00,1.65E+01,1.50E+00,4.70E+00,1.60E+01,G
5.60E+00,1.09E+01,1.66E+01,3.87E+00,3.06E+00,1.61E+01,G
8.30E+00,1.25E+01,1.70E+01,3.32E+00,4.61E+00,1.64E+01,G
1.26E+01,1.10E+01,1.82E+01,3.72E+00,3.44E+00,1.61E+01,G
7.50E+00,9.50E+00,1.68E+01,4.23E+00,2.30E+00,1.61E+01,G
1.92E+00,6.09E+00,1.68E+01,3.43E+00,4.46E+00,1.62E+01,G
2.11E+00,4.67E+00,1.70E+01,3.44E+00,4.11E+00,1.62E+01,G
2.50E+00,5.30E+00,1.65E+01,3.87E+00,3.06E+00,1.61E+01,G
1.28E+01,1.87E+01,1.66E+01,3.44E+00,4.11E+00,1.62E+01,S
8.05E+00,1.18E+01,1.65E+01,3.87E+00,3.06E+00,1.61E+01,G
1.92E+00,6.09E+00,1.68E+01,3.72E+00,3.44E+00,1.61E+01,S
6.07E-01,2.39E+00,1.67E+01,3.15E+00,4.45E+00,1.64E+01,G
2.30E+00,7.10E+00,1.63E+01,5.22E+00,1.62E+00,1.58E+01,G
5.00E+00,1.01E+01,1.64E+01,1.50E+00,4.70E+00,1.60E+01,G
6.60E+00,1.56E+01,1.66E+01,4.10E+00,2.50E+00,1.60E+01,G
2.80E+00,4.80E+00,1.71E+01,3.44E+00,4.11E+00,1.62E+01,G
