OIL;Abbreviation;HANSEN_P;HANSEN_H;HANSEN_D;HildebrandSolubParameter;HANSEN_V;Molec Vol [cm3.mol-1];REFERENCE;
brassica oil;OID001;1.50E+00;4.40E+00;1.62E+01;1.69E+01;1.63E+01;;10.1002/pen.25443;
camellia oil;OID002;3.15E+00;4.45E+00;1.64E+01;1.72E+01;1.67E+01;9.528E+02;ISBN: 978-1-893997-99-8;
canola oil;OID003;3.44E+00;4.11E+00;1.62E+01;1.71E+01;1.66E+01;9.522E+02;10.1007/s10973-011-2132-2;
canola oil;OID004;2.10E+00;2.60E+00;1.65E+01;1.68E+01;1.66E+01;;10.1007/s11483-016-9440-9;
castor oil;OID005;6.99E+00;7.63E+00;1.64E+01;1.94E+01;1.78E+01;9.616E+02;ISBN: 978-1-893997-99-8;
castor oil;OID006;2.90E+00;9.20E+00;1.56E+01;1.83E+01;1.59E+01;;10.1002/pen.25443;
castor oil;OID007;1.20E+00;9.10E+00;1.58E+01;1.83E+01;1.58E+01;;10.1002/pen.25443;
castor oil;OID008;6.00E+00;1.05E+01;1.36E+01;1.82E+01;1.49E+01;;10.1002/pen.25443;
cocoa butter;OID009;2.98E+00;5.15E+00;1.64E+01;1.75E+01;1.67E+01;9.528E+02;10.1007/s11746-003-0687-z;
coconut oil;OID010;3.32E+00;4.61E+00;1.64E+01;1.74E+01;1.68E+01;7.887E+02;ISBN: 978-1-893997-99-8;
coconut oil;OID011;4.63E+00;6.98E+00;1.50E+01;1.71E+01;1.57E+01;;10.1007/s11746-014-2575-2;
coconut oil;OID012;2.80E+00;6.20E+00;1.67E+01;1.80E+01;1.69E+01;;10.1002/pen.25443;
coconut oil;OID013;4.60E+00;6.90E+00;1.49E+01;1.71E+01;1.56E+01;;10.1002/pen.25443;
coconut oil;OID014;2.50E+00;2.80E+00;1.62E+01;1.66E+01;1.64E+01;;10.1002/pen.25443;
corn oil;OID015;3.78E+00;3.39E+00;1.61E+01;1.69E+01;1.66E+01;9.411E+02;ISBN: 978-1-893997-99-8;
cottonseed oil;OID016;3.59E+00;3.47E+00;1.62E+01;1.70E+01;1.66E+01;9.261E+02;ISBN: 978-1-893997-99-8;
cottonseed oil;OID017;3.99E+00;2.39E+00;1.61E+01;1.67E+01;1.66E+01;9.393E+02;ISBN: 978-1-893997-99-8;
fish oil;OID018;1.50E+00;3.60E+00;1.65E+01;1.70E+01;1.66E+01;;10.1007/s11483-016-9440-9;
grapeseed oil;OID019;4.02E+00;3.86E+00;1.61E+01;1.71E+01;1.66E+01;8.616E+02;ISBN: 978-1-893997-99-8;
groundnut oil;OID020;3.45E+00;3.69E+00;1.62E+01;1.70E+01;1.66E+01;9.307E+02;ISBN: 978-1-893997-99-8;
hazelnut oil;OID021;3.18E+00;4.33E+00;1.63E+01;1.72E+01;1.66E+01;9.568E+02;ISBN: 978-1-893997-99-8;
hazelnut oil;OID022;3.80E+00;3.21E+00;1.61E+01;1.68E+01;1.65E+01;9.571E+02;ISBN: 978-1-893997-99-8;
jatropha oil;OID023;3.10E+00;5.90E+00;1.65E+01;1.78E+01;1.68E+01;;10.1016/j.renene.2018.04.048;
jatropha oil;OID024;3.10E+00;6.00E-01;1.66E+01;1.69E+01;1.69E+01;;10.1088/2053-1591/aae962;
jojoba oil;OID025;1.30E+00;2.00E+00;1.68E+01;1.70E+01;1.69E+01;;10.1002/pen.25443;
lavender oil;OID026;3.73E+00;6.36E+00;1.68E+01;1.84E+01;1.72E+01;1.802E+02;ISBN: 978-1-893997-99-8;
linseed oil;OID027;4.35E+00;3.26E+00;1.60E+01;1.69E+01;1.65E+01;9.507E+02;ISBN: 978-1-893997-99-8;
linseed oil;OID028;1.50E+00;4.70E+00;1.57E+01;1.65E+01;1.58E+01;;10.1002/pen.25443;
linseed oil;OID029;3.50E+00;3.70E+00;1.39E+01;1.48E+01;1.43E+01;;10.1002/pen.25443;
linseed oil;OID030;2.09E+00;2.90E+00;1.63E+01;1.67E+01;1.65E+01;;10.1002/pen.25443;
mustard oil;OID031;5.31E+00;2.18E+00;1.57E+01;1.67E+01;1.66E+01;9.287E+02;ISBN: 978-1-893997-99-8;
olive oil;OID032;3.72E+00;3.44E+00;1.61E+01;1.69E+01;1.66E+01;9.221E+02;10.1007/s11746-003-0687-z;
olive oil;OID033;3.22E+00;4.47E+00;1.63E+01;1.72E+01;1.66E+01;9.612E+02;ISBN: 978-1-893997-99-8;
olive oil;OID034;1.50E+00;4.70E+00;1.62E+01;1.69E+01;1.63E+01;;10.1002/pen.25443;
olive oil;OID035;1.20E+00;5.40E+00;1.59E+01;1.68E+01;1.59E+01;;10.1002/pen.25443;
palm oil;OID036;3.35E+00;4.89E+00;1.63E+01;1.74E+01;1.67E+01;9.323E+02;10.1007/s10973-011-2132-2;
palm oil;OID037;3.34E+00;4.08E+00;1.75E+01;1.83E+01;1.79E+01;;10.1007/s11746-014-2575-2;
palm oil;OID038;3.50E+00;3.70E+00;1.77E+01;1.84E+01;1.80E+01;;10.1002/pen.25443;
palm oil;OID039;3.30E+00;4.10E+00;1.75E+01;1.83E+01;1.78E+01;;10.1002/pen.25443;
palm super olein;OID040;3.54E+00;3.67E+00;1.62E+01;1.70E+01;1.66E+01;9.360E+02;10.1007/s11746-003-0687-z;
peanut oil;OID041;3.45E+00;3.69E+00;1.62E+01;1.70E+01;1.66E+01;9.307E+02;10.1002/pen.25443;
pine oil;OID042;3.00E+00;9.80E+00;1.56E+01;1.87E+01;1.59E+01;;10.1002/pen.25443;
pomegranate seed oil;OID043;5.35E+00;2.47E+00;1.57E+01;1.68E+01;1.66E+01;9.249E+02;ISBN: 978-1-893997-99-8;
pomegranate seed oil;OID044;3.74E+00;3.60E+00;1.61E+01;1.70E+01;1.66E+01;9.403E+02;ISBN: 978-1-893997-99-8;
rapeseed oil;OID045;5.22E+00;1.62E+00;1.58E+01;1.67E+01;1.67E+01;8.529E+02;ISBN: 978-1-893997-99-8;
rapeseed oil;OID046;5.22E+00;1.62E+00;1.58E+01;1.67E+01;1.67E+01;8.529E+02;10.1002/pen.25443;
rapeseed oil;OID047;2.08E+00;2.47E+00;1.65E+01;1.68E+01;1.67E+01;;10.1002/pen.25443;
rapeseed oil;OID048;4.70E+00;4.20E+00;1.58E+01;1.70E+01;1.65E+01;;10.1002/pen.25443;
safflower oil;OID049;4.23E+00;2.30E+00;1.61E+01;1.68E+01;1.67E+01;8.862E+02;ISBN: 978-1-893997-99-8;
safflower oil;OID050;4.02E+00;2.76E+00;1.61E+01;1.68E+01;1.65E+01;9.443E+02;ISBN: 978-1-893997-99-8;
sal fat olein;OID051;3.43E+00;4.46E+00;1.62E+01;1.72E+01;1.66E+01;9.682E+02;10.1007/s11746-003-0687-z;
sesame oil;OID052;3.62E+00;3.64E+00;1.62E+01;1.70E+01;1.66E+01;9.343E+02;ISBN: 978-1-893997-99-8;
soybean oil;OID053;4.10E+00;2.50E+00;1.60E+01;1.67E+01;1.65E+01;9.467E+02;FCF-USP;
soybean oil;OID054;2.06E+00;2.64E+00;1.65E+01;1.69E+01;1.66E+01;;10.1002/pen.25443;
soybean oil;OID055;1.50E+00;4.60E+00;1.54E+01;1.61E+01;1.55E+01;;10.1002/pen.25443;
soybean oil;OID056;2.00E+00;2.70E+00;1.65E+01;1.68E+01;1.66E+01;;10.1002/pen.25443;
